target_name,target_mode,top_quantile,positive_weight,overall_accuracy,hit_rate,cover_rate,precision,recall,f1,average_precision,roc_auc,mean_positive_score,mean_negative_score,positive_negative_score_gap,positive_prediction_rate_at_0.5,positive_prediction_rate_at_0.8,true_positive,true_negative,false_positive,false_negative,num_labels,num_positive_labels,split
critical_count_top20,critical_count_topq,0.2,50.0,0.20670773442847365,0.20670773442847365,1.0,0.20670773442847365,1.0,0.342597844583097,0.17546182257441012,0.4283693981452382,0.9227392284680676,0.9303257157310934,-0.0075864872630257985,1.0,1.0,302,0,1159,0,1461,302,overall
critical_count_top20,critical_count_topq,0.2,50.0,0.20669934640522875,0.20669934640522875,1.0,0.20669934640522875,1.0,0.3425863236289777,0.17231270633958526,0.4176615933209315,0.9218570081141626,0.9304426311218899,-0.00858562300772725,1.0,1.0,253,0,971,0,1224,253,train
critical_count_top20,critical_count_topq,0.2,50.0,0.21311475409836064,0.21311475409836064,1.0,0.21311475409836064,1.0,0.3513513513513513,0.23693092015577,0.49038461538461536,0.9269020832501925,0.9282776104907194,-0.0013755272405269192,1.0,1.0,13,0,48,0,61,13,validation
critical_count_top20,critical_count_topq,0.2,50.0,0.20454545454545456,0.20454545454545456,1.0,0.20454545454545456,1.0,0.339622641509434,0.2009124984624773,0.4865079365079365,0.9274360239505768,0.9302170314959117,-0.002781007545334946,1.0,1.0,36,0,140,0,176,36,test
critical_count_top20,critical_count_topq,0.2,100.0,0.20670773442847365,0.20670773442847365,1.0,0.20670773442847365,1.0,0.342597844583097,0.17600485087688394,0.42479529624190754,0.9303494608954878,0.9379597846241836,-0.007610323728695856,1.0,1.0,302,0,1159,0,1461,302,overall
critical_count_top20,critical_count_topq,0.2,100.0,0.20669934640522875,0.20669934640522875,1.0,0.20669934640522875,1.0,0.3425863236289777,0.1732547447462012,0.4151093164212763,0.9296627006983097,0.9380519903283163,-0.008389289630006624,1.0,1.0,253,0,971,0,1224,253,train
critical_count_top20,critical_count_topq,0.2,100.0,0.21311475409836064,0.21311475409836064,1.0,0.21311475409836064,1.0,0.3513513513513513,0.2485304399545475,0.4951923076923077,0.9352972828424894,0.9358887635171413,-0.0005914806746519785,1.0,1.0,13,0,48,0,61,13,validation
critical_count_top20,critical_count_topq,0.2,100.0,0.20454545454545456,0.20454545454545456,1.0,0.20454545454545456,1.0,0.339622641509434,0.19319998210863332,0.46686507936507937,0.9333891454670165,0.9380303365843636,-0.0046411911173471765,1.0,1.0,36,0,140,0,176,36,test
critical_count_top20,critical_count_topq,0.2,200.0,0.20670773442847365,0.20670773442847365,1.0,0.20670773442847365,1.0,0.342597844583097,0.1758490568452981,0.42273825917524244,0.9325220989470451,0.9401880481101194,-0.0076659491630742815,1.0,1.0,302,0,1159,0,1461,302,overall
critical_count_top20,critical_count_topq,0.2,200.0,0.20669934640522875,0.20669934640522875,1.0,0.20669934640522875,1.0,0.3425863236289777,0.17335471215903672,0.41350142268066414,0.9319100707416007,0.9402714037134031,-0.008361332971802415,1.0,1.0,253,0,971,0,1224,253,train
critical_count_top20,critical_count_topq,0.2,200.0,0.21311475409836064,0.21311475409836064,1.0,0.21311475409836064,1.0,0.3513513513513513,0.2494426157871976,0.4935897435897436,0.9376612259791448,0.9381467017034689,-0.0004854757243241137,1.0,1.0,13,0,48,0,61,13,validation
critical_count_top20,critical_count_topq,0.2,200.0,0.20454545454545456,0.20454545454545456,1.0,0.20454545454545456,1.0,0.339622641509434,0.1920303185968758,0.4625,0.9349675012959374,0.9403098076581955,-0.005342306362258076,1.0,1.0,36,0,140,0,176,36,test
critical_count_top30,critical_count_topq,0.3,20.0,0.3066392881587953,0.3066392881587953,1.0,0.3066392881587953,1.0,0.4693556836039811,0.28945301398278117,0.4779870610633197,0.735840017242091,0.7358490652887395,-9.048046648474362e-06,1.0,0.0,448,0,1013,0,1461,448,overall
critical_count_top30,critical_count_topq,0.3,20.0,0.30718954248366015,0.30718954248366015,1.0,0.30718954248366015,1.0,0.47000000000000003,0.2838556078676346,0.48885675933360095,0.7358403115513477,0.7358492088486563,-8.897297308685381e-06,1.0,0.0,376,0,848,0,1224,376,train
critical_count_top30,critical_count_topq,0.3,20.0,0.3114754098360656,0.3114754098360656,1.0,0.3114754098360656,1.0,0.475,0.3641439448644045,0.5476190476190477,0.735840380191803,0.7358539771466028,-1.3596954799854899e-05,1.0,0.0,19,0,42,0,61,19,validation
critical_count_top30,critical_count_topq,0.3,20.0,0.30113636363636365,0.30113636363636365,1.0,0.30113636363636365,1.0,0.46288209606986896,0.3587234270685139,0.38303420770056756,0.7358377991982226,0.7358463983225628,-8.599124340258335e-06,1.0,0.0,53,0,123,0,176,53,test
critical_count_top30,critical_count_topq,0.3,2.2611607142857144,0.6310746064339493,0.4021505376344086,0.4174107142857143,0.4021505376344086,0.4174107142857143,0.40963855421686746,0.4066636692318965,0.592782664645325,0.4876701948232949,0.467695439497316,0.019974755325978866,0.3182751540041068,0.0,187,735,278,261,1461,448,overall
