method,universe,K,search_budget_ratio,critical_hit_count,recall_critical,precision_at_k,relay_cascade_hit_count,recall_relay_cascade,island_only_hit_count,recall_island_only,captured_load_shed_mw
n1_gate_plus_second_only,full,4000,0.12285012285012285,1706,0.9726339794754846,0.4265,1619,0.985392574558734,87,0.7837837837837838,57073.33727282651
n1_gate_plus_second_only,full,4884,0.15,1718,0.9794754846066135,0.35176085176085176,1629,0.9914790018259282,89,0.8018018018018018,57455.18241238981
n1_gate_plus_second_only,full,5000,0.15356265356265356,1719,0.9800456100342075,0.3438,1630,0.9920876445526476,89,0.8018018018018018,57566.94305078379
n1_gate_plus_second_only,full,6512,0.2,1722,0.9817559863169898,0.2644348894348894,1633,0.9939135727328059,89,0.8018018018018018,57666.168483546564
n1_gate_plus_second_only,full,10000,0.3071253071253071,1734,0.9885974914481186,0.1734,1638,0.996956786366403,96,0.8648648648648649,57925.360446183986
n1_gate_plus_second_only,full,32560,1.0,1754,1.0,0.05386977886977887,1643,1.0,111,1.0,58428.283325075514
residual_second_only,residual,100,0.003246753246753247,14,0.0707070707070707,0.14,12,0.07792207792207792,2,0.045454545454545456,423.9930247100238
residual_second_only,residual,154,0.005,17,0.08585858585858586,0.11038961038961038,15,0.09740259740259741,2,0.045454545454545456,445.2006678192229
residual_second_only,residual,200,0.006493506493506494,21,0.10606060606060606,0.105,19,0.12337662337662338,2,0.045454545454545456,514.9998826004777
residual_second_only,residual,308,0.01,28,0.1414141414141414,0.09090909090909091,26,0.16883116883116883,2,0.045454545454545456,700.9551414448492
residual_second_only,residual,500,0.016233766233766232,69,0.3484848484848485,0.138,67,0.43506493506493504,2,0.045454545454545456,1804.4729225812769
residual_second_only,residual,616,0.02,76,0.3838383838383838,0.12337662337662338,74,0.4805194805194805,2,0.045454545454545456,1970.8595395436582
residual_second_only,residual,1000,0.032467532467532464,93,0.4696969696969697,0.093,88,0.5714285714285714,5,0.11363636363636363,2378.325026947119
residual_second_only,residual,1500,0.048701298701298704,123,0.6212121212121212,0.082,106,0.6883116883116883,17,0.38636363636363635,3017.067841973419
residual_second_only,residual,1540,0.05,126,0.6363636363636364,0.08181818181818182,108,0.7012987012987013,18,0.4090909090909091,3083.0921424241233
residual_second_only,residual,2000,0.06493506493506493,136,0.6868686868686869,0.068,117,0.7597402597402597,19,0.4318181818181818,3390.2835543138162
