library_path,block_name,mask_type,port_structure,physical_port_count,inport_count,outport_count,likely_compatible_with_l01,requires_control_input,note
"ee_lib/Switches & Breakers/SPST Switch\n(Three-Phase)","SPST Switch\n(Three-Phase)","SPST Switch\n(Three-Phase)",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:2;RConn:1;Ifaction:0;Reset:0;Event:0,3,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"fl_lib/Electrical/Electrical Elements/Switch","Switch","Switch",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:2;Ifaction:0;Reset:0;Event:0,3,0,0,1,0,Candidate has physical ports and breaker/switch naming; standalone probe still required before wrapper insertion.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker1/Breaker A","Breaker A","Breaker",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker1/Breaker A/Breaker","Breaker","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,0,0,0,0,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker1/Breaker B","Breaker B","Breaker",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker1/Breaker B/Breaker","Breaker","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,0,0,0,0,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker1/Breaker C","Breaker C","Breaker",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker1/Breaker C/Breaker","Breaker","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,0,0,0,0,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker2/Breaker A","Breaker A","Breaker",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker2/Breaker A/Breaker","Breaker","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,0,0,0,0,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker2/Breaker B","Breaker B","Breaker",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker2/Breaker B/Breaker","Breaker","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,0,0,0,0,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker2/Breaker C","Breaker C","Breaker",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker2/Breaker C/Breaker","Breaker","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,0,0,0,0,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Ideal Switch","Ideal Switch","Ideal Switch",Inport:1;Outport:1;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,1,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Ideal Switch/IdealSwitch","IdealSwitch","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,0,0,0,0,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Mosfet/Ideal Switch","Ideal Switch","Ideal Switch",Inport:1;Outport:1;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,1,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Mosfet/Ideal Switch/IdealSwitch","IdealSwitch","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,0,0,0,0,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Grid Elements/Breaker","Breaker","Breaker",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Grid Elements/Breaker/Breaker","Breaker","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,0,0,0,0,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Grid Elements/Three-Phase Breaker/Breaker A","Breaker A","Breaker",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Grid Elements/Three-Phase Breaker/Breaker A/Breaker","Breaker","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,0,0,0,0,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Grid Elements/Three-Phase Breaker/Breaker B","Breaker B","Breaker",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Grid Elements/Three-Phase Breaker/Breaker B/Breaker","Breaker","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,0,0,0,0,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Grid Elements/Three-Phase Breaker/Breaker C","Breaker C","Breaker",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Grid Elements/Three-Phase Breaker/Breaker C/Breaker","Breaker","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,0,0,0,0,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Grid Elements/Three-Phase Fault/Fault A/Breaker","Breaker","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,0,0,0,0,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Grid Elements/Three-Phase Fault/Fault B/Breaker","Breaker","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,0,0,0,0,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Grid Elements/Three-Phase Fault/Fault C/Breaker","Breaker","InnerPowersysBlock",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:1;RConn:1;Ifaction:0;Reset:0;Event:0,2,0,0,0,0,Candidate is not clearly compatible with the four-port IEEE39 line block.
"ee_lib/Switches & Breakers","Switches & Breakers","",Inport:0;Outport:0;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,0,0,0,0,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Control/Alpha-Beta-Zero\nto dq0/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
