library_path,block_name,mask_type,port_structure,physical_port_count,inport_count,outport_count,likely_compatible_with_l01,requires_control_input,note
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Control/wind_dfig_grid/Idq references/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Control/wind_dfig_rotor/Power Regulator/Subsystem/Looses/Mean Value/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Control/wind_dfig_rotor/Power Regulator/Subsystem/Mean Value/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Control/wind_dfig_rotor/Power Regulator/Subsystem/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Control/wind_dfig_rotor/Power Regulator/Subsystem /Mean Value/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Control/wind_dfig_rotor/Power Regulator/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Control/wind_dfig_rotor/Priority Idr/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Control/wind_dfig_rotor/Q Regulator/Mean Value/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Control/wind_dfig_rotor/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Control/wind_dfig_rotor/V Regulator/Mean Value/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Control/wind_dfig_rotor/V Regulator/Mean Value1/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Grid-side converter currents\n&\nConverters power/d-q axis model\nof a 3-phase\nseries R-L branch/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Generator & Converters/Grid-side converter currents\n&\nConverters power/d-q axis model\nof a 3-phase\nseries R-L branch/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nDoubly-Fed Induction Generator\n(Phasor Type)/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Asynchronous Machine/Electrical model/Asynchronous Machine\nState-space model/Saturation/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Asynchronous Machine/Electrical model/Asynchronous Machine\nState-space model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Asynchronous Machine/Electrical model/Asynchronous Machine\nState-space model/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Asynchronous Machine/Electrical model/Asynchronous Machine\nState-space model/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Asynchronous Machine/Electrical model/abc to dq \ntransformation/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Asynchronous Machine/Electrical model/abc to dq \ntransformation/Multiport\nSwitch1","Multiport\nSwitch1","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Asynchronous Machine/Electrical model/dq to abc\ntransformation/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Asynchronous Machine/Electrical model/dq to abc\ntransformation/Multiport\nSwitch1","Multiport\nSwitch1","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Asynchronous Machine/Electrical model/sin,cos/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Asynchronous Machine/Electrical model/sin,cos/Multiport\nSwitch1","Multiport\nSwitch1","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Data acquisition/Mean Value/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker1/Breaker A/Model/Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker1/Breaker B/Model/Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker1/Breaker C/Model/Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker1/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker1/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker1/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker1/Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker2/Breaker A/Model/Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker2/Breaker B/Model/Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker2/Breaker C/Model/Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker2/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker2/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker2/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Electrical Machines/Wind Turbine\nInduction Generator\n(Phasor Type)/Trip Breaker2/Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Passives/Surge Arrester/Model/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Passives/Surge Arrester/Model/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Passives/Three-Phase\nDynamic Load/Model/Mean\n(Variable Frequency)/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Passives/Three-Phase\nDynamic Load/Model/Mean\n(Variable Frequency)1/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Passives/Three-Phase\nDynamic Load/Model/PLL/Variable Frequency\nMean value/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Passives/Three-Phase\nDynamic Load/Model/Positive Sequence \ncurrent/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Passives/Three-Phase\nDynamic Load/Model/Positive Sequence \ncurrent/Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Passives/Three-Phase\nDynamic Load/Model/Positive Sequence \ncurrent/Switch4","Switch4","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Passives/Three-Phase\nDynamic Load/Model/dq0 to abc/dq0 to\nAlpha-Beta-Zero/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Passives/Variable Capacitor/Nearzero\nresistance/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Passives/Variable Capacitor/Nearzero\nresistance/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Passives/Variable Inductor/Nearzero\nresistance/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Passives/Variable Inductor/Nearzero\nresistance/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Passives/Variable Resistor/Nearzero\nresistance/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Passives/Variable Resistor/Nearzero\nresistance/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Boost Converter/Model/D1/Model/iSwitch","iSwitch","",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Boost Converter/Model/Q2/Model/iSwitch","iSwitch","",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Buck Converter/Model/D2/Model/iSwitch","iSwitch","",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Buck Converter/Model/Q1/Model/iSwitch","iSwitch","",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Detailed Thyristor/Model/iSwitch","iSwitch","",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Diode/Model/iSwitch","iSwitch","",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Gto/Model/iSwitch","iSwitch","",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/IGBT/Model/iSwitch","iSwitch","",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Mosfet/Diode/Model/iSwitch","iSwitch","",Inport:1;Outport:0;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,1,0,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/Overmodulation/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/PWM Generator\n(3-Level)/Multiport\nSwitch","Multiport\nSwitch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/PWM Generator\n(3-Level)/Multiport\nSwitch1","Multiport\nSwitch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/PWM Generator\n(3-Level)/Multiport\nSwitch2","Multiport\nSwitch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/PWM Generator\n(3-Level)/State-to-Pulses\nDecoder/Multiport\nSwitch","Multiport\nSwitch","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/PWM Generator\n(3-Level)/State-to-Pulses\nDecoder/Multiport\nSwitch3","Multiport\nSwitch3","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/PWM Generator\n(3-Level)/State-to-Pulses\nDecoder/Multiport\nSwitch4","Multiport\nSwitch4","",Inport:4;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,4,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/Pulse Generator\n(Thyristor, 12-Pulse)/Sample and\nHold/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/Pulse Generator\n(Thyristor, 6-Pulse)/Sample and\nHold/Model/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/SVPWM Generator\n(2-Level)/Model/Determine\nreference vector (U*)/Switch","Switch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/SVPWM Generator\n(2-Level)/Model/Determine\nreference vector (U*)/Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/SVPWM Generator\n(2-Level)/Model/Determine\nreference vector (U*)/Switch2","Switch2","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/SVPWM Generator\n(2-Level)/Model/Determine\nreference vector (U*)/Switch3","Switch3","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/SVPWM Generator\n(2-Level)/Model/Multiport\nSwitch","Multiport\nSwitch","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/SVPWM Generator\n(2-Level)/Model/SV Modulator\nPattern #1/Compute time duration of\nswitching states (Ta,Tb,To) /Switch1","Switch1","",Inport:3;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,3,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/SVPWM Generator\n(2-Level)/Model/SV Modulator\nPattern #2/Multiport\nSwitch","Multiport\nSwitch","",Inport:7;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,7,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/SVPWM Generator\n(2-Level)/Model/SV Modulator\nPattern #2/Multiport\nSwitch1","Multiport\nSwitch1","",Inport:7;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,7,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/SVPWM Generator\n(2-Level)/Model/SV Modulator\nPattern #2/Multiport\nSwitch2","Multiport\nSwitch2","",Inport:7;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,7,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/SVPWM Generator\n(3-Level)/Pulses Generation/Multiport\nSwitch1","Multiport\nSwitch1","",Inport:7;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,7,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
"sps_lib/Power Electronics/Power Electronics Control/SVPWM Generator\n(3-Level)/Pulses Generation/Multiport\nSwitch2","Multiport\nSwitch2","",Inport:7;Outport:1;Enable:0;Trigger:0;State:0;LConn:0;RConn:0;Ifaction:0;Reset:0;Event:0,0,7,1,0,1,Candidate is not clearly compatible with the four-port IEEE39 line block.
