path,score,first_probability,second_probability,rank,used_measured_state,initial_offline_lines,simulation_initial_source
L01->L02,0.27818620204925537,0.5253929495811462,0.5294821858406067,54,False,,seed_initial_dcopf_case
L30->L03,0.2781609892845154,0.4883880317211151,0.5695491433143616,55,False,,seed_initial_dcopf_case
L19->L32,0.27784544229507446,0.5012578368186951,0.5542964339256287,56,False,,seed_initial_dcopf_case
L19->L33,0.27784544229507446,0.5012578368186951,0.5542964339256287,57,False,,seed_initial_dcopf_case
L29->L03,0.27710068225860596,0.4883880317211151,0.5673781037330627,58,False,,seed_initial_dcopf_case
L03->L11,0.2765018939971924,0.5602876543998718,0.49349990487098694,59,False,,seed_initial_dcopf_case
L05->L01,0.276492714881897,0.49483776092529297,0.5587542653083801,60,False,,seed_initial_dcopf_case
L03->L36,0.27625954151153564,0.5602876543998718,0.49306732416152954,61,False,,seed_initial_dcopf_case
L03->L37,0.27625954151153564,0.5602876543998718,0.49306732416152954,62,False,,seed_initial_dcopf_case
L03->L20,0.27613088488578796,0.5602876543998718,0.49283769726753235,63,False,,seed_initial_dcopf_case
L14->L03,0.2760838568210602,0.49722975492477417,0.5552440285682678,64,False,,seed_initial_dcopf_case
L23->L03,0.27581390738487244,0.4883880317211151,0.5647433996200562,65,False,,seed_initial_dcopf_case
L38->L25,0.2756448984146118,0.4883880317211151,0.5643973350524902,66,False,,seed_initial_dcopf_case
L38->L26,0.2756448984146118,0.4883880317211151,0.5643973350524902,67,False,,seed_initial_dcopf_case
L14->L32,0.27546998858451843,0.49722975492477417,0.5540094375610352,68,False,,seed_initial_dcopf_case
L14->L33,0.27546998858451843,0.49722975492477417,0.5540094375610352,69,False,,seed_initial_dcopf_case
L03->L14,0.27546757459640503,0.5602876543998718,0.49165382981300354,70,False,,seed_initial_dcopf_case
L02->L01,0.2752330005168915,0.504095733165741,0.5459935069084167,71,False,,seed_initial_dcopf_case
L20->L32,0.27488401532173157,0.49756720662117004,0.5524560809135437,72,False,,seed_initial_dcopf_case
L20->L33,0.27488401532173157,0.49756720662117004,0.5524560809135437,73,False,,seed_initial_dcopf_case
L03->L15,0.2747851610183716,0.5602876543998718,0.4904358685016632,74,False,,seed_initial_dcopf_case
L03->L29,0.27464863657951355,0.5602876543998718,0.4901922047138214,75,False,,seed_initial_dcopf_case
L03->L22,0.2742854356765747,0.5602876543998718,0.48954397439956665,76,False,,seed_initial_dcopf_case
L03->L10,0.27409330010414124,0.5602876543998718,0.48920100927352905,77,False,,seed_initial_dcopf_case
L03->L16,0.27397388219833374,0.5602876543998718,0.48898789286613464,78,False,,seed_initial_dcopf_case
L15->L03,0.2739652097225189,0.49778875708580017,0.5503643751144409,79,False,,seed_initial_dcopf_case
L03->L05,0.2736377716064453,0.5602876543998718,0.4883880317211151,80,False,,seed_initial_dcopf_case
L03->L13,0.2736377716064453,0.5602876543998718,0.4883880317211151,81,False,,seed_initial_dcopf_case
L03->L17,0.2736377716064453,0.5602876543998718,0.4883880317211151,82,False,,seed_initial_dcopf_case
L03->L18,0.2736377716064453,0.5602876543998718,0.4883880317211151,83,False,,seed_initial_dcopf_case
L03->L19,0.2736377716064453,0.5602876543998718,0.4883880317211151,84,False,,seed_initial_dcopf_case
L03->L28,0.2736377716064453,0.5602876543998718,0.4883880317211151,85,False,,seed_initial_dcopf_case
L03->L34,0.2736377716064453,0.5602876543998718,0.4883880317211151,86,False,,seed_initial_dcopf_case
L03->L35,0.2736377716064453,0.5602876543998718,0.4883880317211151,87,False,,seed_initial_dcopf_case
L03->L31,0.2735588550567627,0.5602876543998718,0.4882471561431885,88,False,,seed_initial_dcopf_case
L06->L01,0.273171603679657,0.4906264543533325,0.5567812323570251,89,False,,seed_initial_dcopf_case
L01->L03,0.27242520451545715,0.5253929495811462,0.5185170769691467,90,False,,seed_initial_dcopf_case
L19->L38,0.27087077498435974,0.5012578368186951,0.5403821468353271,91,False,,seed_initial_dcopf_case
L15->L06,0.27084073424339294,0.49778875708580017,0.5440877079963684,92,False,,seed_initial_dcopf_case
L01->L04,0.27067190408706665,0.5253929495811462,0.5151799321174622,93,False,,seed_initial_dcopf_case
L15->L04,0.27060312032699585,0.49778875708580017,0.5436103343963623,94,False,,seed_initial_dcopf_case
L22->L32,0.2703278958797455,0.49243050813674927,0.5489665865898132,95,False,,seed_initial_dcopf_case
L22->L33,0.2703278958797455,0.49243050813674927,0.5489665865898132,96,False,,seed_initial_dcopf_case
L15->L08,0.2699121832847595,0.49778875708580017,0.5422223210334778,97,False,,seed_initial_dcopf_case
L15->L01,0.2693907916545868,0.49778875708580017,0.5411749482154846,98,False,,seed_initial_dcopf_case
L19->L01,0.2690286636352539,0.5012578368186951,0.5367071628570557,99,False,,seed_initial_dcopf_case
L20->L01,0.2688003480434418,0.49756720662117004,0.5402292013168335,100,False,,seed_initial_dcopf_case
