method,category,K,critical_hits,relay_hits,precision,recall_critical,relative_to_random,relative_to_lodf,relative_to_pfw,relative_to_strict_path_prob,relative_to_second_only,caveat,source
best_strict_fragility_path_prob,strict_fragility_refinement,1000,676.0,660.0,0.676,0.3854047890535917,620.6,618.0,610.0,316.0,15.0,"slight low-budget gains, not decisive breakthrough",artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
line_order,baseline,5000,281.0,258.0,0.0562,0.1602052451539338,8.100000000000023,6.0,16.0,-904.0,-1424.0,deterministic weak baseline,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
random,baseline,5000,272.9,255.3,0.05458,0.1555872291904219,0.0,-2.1000000000000227,7.899999999999977,-912.1,-1432.1,stochastic baseline,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
second_only,diagnostic_ablation,5000,1705.0,1621.0,0.341,0.9720638540478904,1432.1,1430.0,1440.0,520.0,0.0,strong ablation; not original main method,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
any_critical_fragility_path_prob,diagnostic_failed_label,5000,1706.0,1621.0,0.3412,0.9726339794754846,1433.1,1431.0,1441.0,521.0,1.0,any-critical label is all-positive,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
strict_path_prob,paper_aligned_pilot,5000,1185.0,1099.0,0.237,0.6755986316989738,912.1,910.0,920.0,0.0,-520.0,original paper-style path probability on pilot-2000,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
LODF_yP,physics_baseline,5000,275.0,248.0,0.055,0.1567844925883694,2.1000000000000227,0.0,10.0,-910.0,-1430.0,physical LODF_yP baseline,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
PFW,physics_baseline,5000,265.0,229.0,0.053,0.1510832383124287,-7.899999999999977,-10.0,0.0,-920.0,-1440.0,power-flow-weighted baseline,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
best_alpha_path_prob,ranking_improvement,5000,1710.0,1623.0,0.342,0.9749144811858608,1437.1,1435.0,1445.0,525.0,5.0,calibrated ranking; not original paper method,artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
best_strict_fragility_path_prob,strict_fragility_refinement,5000,1709.0,1622.0,0.3418,0.9743443557582668,1436.1,1434.0,1444.0,524.0,4.0,"slight low-budget gains, not decisive breakthrough",artifact:C:/Users/24186/Documents/New project 7/cascading-risk-search-and-mitigation/results/gcn_search/ieee118_paper_aligned_training_scaleup/strict_fragility_eval/ieee118_strict_fragility_vs_baselines_at_keyK.csv
